ST_ABBR,FIPS,LOCATION,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01079,"Lawrence County, Alabama",0.6948,0.2721,0.3081,0.8689,0.5525,2.6964,0.5605,0.409,0.4243,0.9243,0.2651,0.3116,2.3343,0.4039,0.6034,0.6034,0.6034,0.1346,0.8972,0.1996,0.5054,0.0977,1.8345,0.1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01081,"Lee County, Alabama",0.7027,0.4561,0.8116,0.3759,0.4398,2.7861,0.5907,0.0481,0.3574,0.2524,0.6537,0.6601,1.9717,0.1894,0.7151,0.7151,0.7151,0.923,0.697,0.8402,0.3055,0.7285,3.4942,0.9443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01083,"Limestone County, Alabama",0.3501,0.5385,0.1445,0.6983,0.5095,2.2409,0.4074,0.1827,0.5522,0.4949,0.5124,0.6104,2.3526,0.4182,0.6127,0.6127,0.6127,0.5522,0.5121,0.5032,0.2397,0.6805,2.4877,0.4882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01085,"Lowndes County, Alabama",0.9663,0.9659,0.9402,0.8224,0.4822,4.177,0.9628,0.5003,0.522,0.9844,0.9962,0,3.0029,0.8285,0.9758,0.9758,0.9758,0,0.9838,0.4023,0.9437,0.1913,2.5211,0.5064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01087,"Macon County, Alabama",0.9153,0.9714,0.6598,0.7705,0.5388,3.8558,0.9118,0.5999,0.0738,0.6712,0.8765,0,2.2214,0.3275,0.9866,0.9866,0.9866,0.5264,0.8129,0.2759,0.9153,0.9532,3.4837,0.9418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01089,"Madison County, Alabama",0.2616,0.4169,0.4978,0.2782,0.4653,1.9198,0.3046,0.1661,0.4577,0.2524,0.7813,0.6104,2.2679,0.359,0.7447,0.7447,0.7447,0.8848,0.1916,0.2759,0.2575,0.5805,2.1903,0.3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01091,"Marengo County, Alabama",0.8339,0.8071,0.6747,0.6951,0.4994,3.5102,0.8265,0.5818,0.6489,0.9669,0.754,0.0859,3.0375,0.8428,0.8988,0.8988,0.8988,0.3094,0.9192,0.0201,0.9185,0.2298,2.397,0.4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01093,"Marion County, Alabama",0.7782,0.7292,0.3959,0.8568,0.6375,3.3976,0.7947,0.712,0.3186,0.9774,0.325,0.4736,2.8066,0.7212,0.2778,0.2778,0.2778,0.1808,0.8765,0.5958,0.4102,0.4462,2.5095,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01095,"Marshall County, Alabama",0.7199,0.2543,0.4427,0.7826,0.7505,2.95,0.6489,0.3304,0.8456,0.3421,0.754,0.895,3.1671,0.9007,0.5407,0.5407,0.5407,0.2909,0.585,0.5032,0.4102,0.1913,1.9806,0.2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,01097,"Mobile County, Alabama",0.7215,0.6279,0.8682,0.5987,0.6948,3.5111,0.8272,0.2467,0.6875,0.3097,0.832,0.4297,2.5056,0.5325,0.8253,0.8253,0.8253,0.8581,0.3593,0.4742,0.7164,0.4462,2.8542,0.6868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
